filename,question_1a_health_policy,question_1a_confidence,question_1a_explanation,question_1b_ghpl_categories,question_1b_confidence,question_1b_explanation,metadata_extracted,title,doc_type,health_topic,creator,year,country,language,governance_level,overall_confidence,metadata_completeness,processing_time_seconds,processed,error_message
5f4552dc587ad3361e0438d4.pdf,True,0.98,"This is published by the World Health Organization (Organisation mondiale de la Santé), an authoritative global health agency. The document bears WHO ISBN, copyright and contact details and is presented as an official WHO publication.",True,0.98,"The title and contents identify it as a WHO evidence-based 'guide to essential practice' for cervical cancer control (Comprehensive cervical cancer control: a guide to essential practice – 2nd ed.), with chapters, practical fiches and guidance for clinical and public-health interventions. This matches the GUIDELINE category.",True,"value='La lutte contre le cancer du col de l’utérus: Guide des pratiques essentielles, Deuxième édition' confidence=0.9 evidence='Cover/title text: ""La lutte contre le cancer du col de l’utérus Guide des pratiques essentielles Deuxième édition"" (appears on the cover and title pages)' source_page=1 alternatives=['Comprehensive cervical cancer control: a guide to essential practice – 2nd ed']","value=<DocType.HEALTH_GUIDELINE: 'Health Guideline'> confidence=1.0 evidence='La lutte contre le cancer du col de l’utérus : guide des pratiques essentielles – 2ème éd. (explicitly identifies the document as a guide/guide des pratiques essentielles)' source_page=4 alternatives=['Action Plan', 'Policy']","value=<HealthTopic.CANCER: 'Cancer'> confidence=1.0 evidence='Title and repeated references: ""La lutte contre le cancer du col de l’utérus"" (document is focused on cervical cancer)' source_page=1 alternatives=['Non-Communicable Disease']","value=<Creator.AGENCY: 'Agency'> confidence=1.0 evidence='© Organisation mondiale de la Santé 2017; citation: ""Genève : Organisation mondiale de la Santé ; 2017."" (WHO is the publishing organization/agency)' source_page=4 alternatives=['Foundation', 'Association']","value=2017 confidence=1.0 evidence='© Organisation mondiale de la Santé 2017; citation: ""Genève : Organisation mondiale de la Santé ; 2017.""' source_page=4 alternatives=['2016', '2018']","value='Switzerland (WHO, Geneva)' confidence=0.8 evidence='Publication line: ""Genève : Organisation mondiale de la Santé ; 2017."" (publisher location is Geneva, Switzerland). Note: also states ""Imprimé en République de Côte d’Ivoire.""' source_page=4 alternatives=['Côte d’Ivoire (printing location)', 'Global']","value='French' confidence=1.0 evidence='Document text is in French (e.g., ""La lutte contre le cancer du col de l’utérus"", ""Guide des pratiques essentielles"", throughout pages)' source_page=1 alternatives=['English (original available: ""Comprehensive cervical cancer control: a guide to essential practice – 2nd ed"")']",,0.955,1.0,26.929023504257202,True,
GBR_B4_9387-2900853-CVD-Outcomes_web1.pdf,True,0.97,"This is an official Department of Health publication (Crown copyright 2013) titled 'Cardiovascular Disease Outcomes Strategy', with a DH Information Reader Box, gateway reference number, contact email, and foreword signed by senior health officials (Secretary of State for Health, NHS CB Chief Executive, PHE Chief Executive). It is directed at NHS commissioners, providers and local authorities and provides guidance for public health and health services.",True,0.92,"This is a national, disease-focused strategy setting goals, priorities and recommended actions to improve outcomes for cardiovascular disease (identifies ten key actions, targets commissioners/providers, and discusses implementation). It therefore fits the 'National Control Plan' / national disease strategy category rather than a narrow clinical guideline or a mere data report.",True,"value='Cardiovascular Disease Outcomes Strategy' confidence=1.0 evidence=""Main title text appears as 'Cardiovascular Disease Outcomes Strategy' and subtitle 'Improving outcomes for people with or at risk of cardiovascular disease'."" source_page=1 alternatives=['Cardiovascular Disease Outcomes Strategy: Improving outcomes for people with or at risk of cardiovascular disease']","value=<DocType.NATIONAL_HEALTH_STRATEGY: 'National Health Strategy'> confidence=0.9 evidence=""Document repeatedly titled as an outcomes 'Strategy' for Cardiovascular Disease and framed as a national strategy for commissioners/providers (e.g. header 'Cardiovascular Disease Outcomes Strategy', Foreword referencing Department of Health, NHS, Public Health England)."" source_page=1 alternatives=['Policy', 'Action Plan']","value=<HealthTopic.CARDIOVASCULAR_HEALTH: 'Cardiovascular Health'> confidence=1.0 evidence=""Title and text explicitly focussed on cardiovascular disease (e.g. 'Cardiovascular Disease Outcomes Strategy', 'Improving outcomes for people with or at risk of cardiovascular disease', and numerous references to coronary heart disease, stroke, hypertension, etc.)."" source_page=1 alternatives=['Non-Communicable Disease']","value=<Creator.MINISTRY: 'Ministry'> confidence=0.9 evidence=""Author listed as 'DH Cardiovascular Disease Team' and published by the Department of Health (DH) — a government ministry-level department."" source_page=2 alternatives=['Agency', 'Association']","value=2013 confidence=1.0 evidence=""Publication date shown as '05 March 2013' and 'First published March 2013'."" source_page=2 alternatives=None","value='England' confidence=0.8 evidence=""References throughout to NHS structures and data for England (e.g. 'England' in executive summary: '...largest causes of death and disability in this country' and multiple references to NHS, Public Health England, NHS Health Check programme covering adults in England)."" source_page=9 alternatives=['United Kingdom', 'Great Britain']",value='English' confidence=1.0 evidence='Document text is in English and was published on the Department of Health (UK) website in English.' source_page=4 alternatives=None,,0.945,1.0,29.867868185043335,True,
2017-27762.pdf,True,0.95,This is a U.S. Federal Register notice from the Centers for Disease Control and Prevention (CDC) and NIOSH (HHS agencies). It is an official communication by national public health authorities (government source).,False,0.95,"The items shown are administrative notices: availability of a final National Occupational Research Agenda (research priorities) and a Paperwork Reduction Act notice about the National Survey of Family Growth (data collection). These are research/administrative notices, not a POLICY, LAW, NATIONAL HEALTH STRATEGY, NATIONAL CONTROL PLAN, ACTION PLAN, or GUIDELINE as defined in the GHPL criteria.",False,,,,,,,,,,,7.553610563278198,True,
Hck1ocv.@www.surgeon.fullrpt.pdf,True,0.97,"This is 'Oral Health in America: A Report of the Surgeon General' produced by the U.S. Department of Health and Human Services / U.S. Public Health Service and the National Institute of Dental and Craniofacial Research (NIH). It is an official federal public‑health document authored/endorsed by the Surgeon General and NIH leadership, so it originates from authoritative national health authorities.",False,0.92,"The document is a Surgeon General’s report — an evidence synthesis and national-level assessment with recommendations and a proposed framework for action. It is not a formal policy statement, binding law, national health strategy, disease control plan, implementation/action plan with timelines/responsibilities, nor a clinical practice guideline. Therefore it does not fit any of the six specified GHPL categories.",False,,,,,,,,,,,6.4799182415008545,True,
Final_IDSR_Technical_Guidelines_Final_Version_signed_by_Hon._DG_and_Hon._Minister.pdf,True,0.95,This is an official document produced by the Ministry of Health and the National Public Health Institute of Liberia (national government health authorities) and carries WHO/CDC collaborator references and logos; it is an authoritative public health source intended for national use.,True,0.95,"The title and content identify it as a national technical guideline: ""National Technical Guidelines for Integrated Disease Surveillance & Response"" (published June 2021). This is a formal, evidence-based advisory document guiding public health surveillance and response, fitting the GUIDELINE category rather than a law, policy, or strategy.",True,"value='National Technical Guidelines for Integrated Disease Surveillance & Response' confidence=0.9 evidence='Prominent cover title: ""NATIONAL TECHNICAL GUIDELINES FOR Integrated Disease Surveillance & Response"" (converted to title case as requested).' source_page=1 alternatives=['Integrated Disease Surveillance & Response: National Technical Guidelines', 'National Technical Guidelines for Integrated Disease Surveillance and Response']","value=<DocType.HEALTH_GUIDELINE: 'Health Guideline'> confidence=1.0 evidence='Cover and header: ""NATIONAL TECHNICAL GUIDELINES FOR Integrated Disease Surveillance & Response"" and repeated references to ""National Technical Guidelines"" (pages 1-2).' source_page=1 alternatives=['Policy', 'National Health Strategy']","value=None confidence=0.0 evidence='Document focuses on infectious disease surveillance and response (e.g., COVID-19, VHF, Lassa Fever listed in table of contents), not on cancer or cardiovascular conditions; none of the allowed enums (Cancer, Cardiovascular Health, Non-Communicable Disease) match.' source_page=9 alternatives=['Infectious Disease', 'Public Health Surveillance']","value=<Creator.MINISTRY: 'Ministry'> confidence=1.0 evidence='Cover and header: ""MINISTRY OF HEALTH AND NATIONAL PUBLIC HEALTH INSTITUTE OF LIBERIA"" (explicit attribution to the Ministry of Health).' source_page=1 alternatives=['Agency']","value=2021 confidence=1.0 evidence='Cover: ""Adapted November 2019, Published June 2021"" (publication year stated as 2021).' source_page=1 alternatives=['2019']","value='Liberia' confidence=1.0 evidence='Cover and citation: ""MINISTRY OF HEALTH AND NATIONAL PUBLIC HEALTH INSTITUTE OF LIBERIA"" and ""Monrovia, Republic of Liberia"" in recommended citation.' source_page=1 alternatives=['Republic of Liberia']","value='English' confidence=1.0 evidence='Document text and all headings are in English (cover, table of contents, and body text).' source_page=1 alternatives=['English (primary)']",,0.931,0.875,22.094948053359985,True,
Db50.pdf,True,0.95,"This brief is published by the National Center for Health Statistics (NCHS), part of the Centers for Disease Control and Prevention and the U.S. Department of Health and Human Services — an official government public health authority. It lists NCHS/CDC authors, methods, and data sources.",False,0.9,"The document is a statistical data brief reporting obesity prevalence and trends (NHANES data). It is a research/data report without policy statements, legal force, national strategy, control plan, action plan, or formal clinical/public-health guidelines, so it does not fit any of the six GHPL categories.",False,,,,,,,,,,,7.9677512645721436,True,
APPG-on-LSC-Work-Programme-MP-handout-1.pdf,True,0.9,Document is from an All‑Party Parliamentary Group (APPG) on Less Survivable Cancers — an entity linked to the UK Parliament (uses parliamentary branding) proposing a parliamentary mini‑inquiry into cancer detection and diagnosis. This places it within the realm of parliamentary/government‑linked health policy activity rather than a commercial or purely academic source.,False,0.95,"This is a proposed work programme / mini‑inquiry plan (meeting schedule, sessions, timelines and topics). It is a committee/meeting work plan rather than a formal policy, law, national strategy, national control plan, action plan for policy implementation, or an evidence‑based clinical/public health guideline. It therefore does not fit the six GHPL categories.",False,,,,,,,,,,,9.870418071746826,True,
Bulk-up-your-meals-cook-islands.pdf,False,0.86,"The leaflet is branded by the Heart Foundation and Pacific Heartbeat (health NGOs/charitable organisations) and appears to be a public education/promotional brochure about nutritious food choices for Cook Islands Maori. It is not from a government ministry, WHO, or other official regulatory health authority and does not present formal policy or legal authority.",False,0.92,"This is patient/public education material (a nutrition flyer/brochure) rather than a policy, law, national strategy, national control plan, action plan, or an evidence-based clinical/public health guideline. It lacks formal policy language, implementation timelines, legal force, or systematic evidence-review structure.",False,,,,,,,,,,,10.057720184326172,True,
Db100.pdf,True,0.98,"This is a data brief published by the U.S. Department of Health and Human Services / CDC National Center for Health Statistics (NCHS), an official national public health agency. It carries CDC/NCHS logos and contact details and presents nationally representative survey results.",False,0.95,"The document is a statistical data brief reporting prevalence and trends (NHIS analysis). It does not set policy goals, legal rules, a national strategy or control plan, an action implementation plan, or provide evidence-based clinical/public-health guidelines, so it does not fit any of the six GHPL categories.",False,,,,,,,,,,,6.58526611328125,True,
2003-141.pdf,True,0.98,"This document is produced by NIOSH/CDC (federal U.S. public health agencies). It bears official logos and provides workplace health recommendations on asbestos exposure, so it is from an authoritative government health source.",False,0.92,"The document is a NIOSH fact sheet providing practical recommendations and worker guidance. It is an informational/educational fact sheet, not a formal policy, law, national strategy, national control plan, action plan, or an evidence-based clinical/public health guideline as defined by the GHPL criteria.",False,,,,,,,,,,,8.542971134185791,True,
Topping-ideas-for-baking.pdf,True,0.75,"This is a consumer-facing nutrition/health brochure from the Heart Foundation (heartfoundation.org.nz), a national non-governmental heart-health charity. While not a government agency, the Heart Foundation is an established health organisation and a recognized authoritative source for heart-health guidance in New Zealand.",False,0.95,"This document is an educational/consumer brochure (topping ideas for baking) — a public information leaflet, not a formal policy, law, national strategy, control plan, action plan, or systematically developed clinical/public‑health guideline.",False,,,,,,,,,,,8.93738055229187,True,
Sacmducs_ccsmmuac_ai-eng.pdf,True,0.95,"This document is published by Health Canada (Health Products and Food Branch) — it bears official Canada/Health Canada branding and describes the Scientific Advisory Committee on Medical Devices Used in the Cardiovascular System, including declarations of affiliations and interests. It is therefore from an authoritative government health source.",False,0.95,"The content is a membership/affiliations and conflict-of-interest summary for an advisory committee. It is administrative/transparency material related to an advisory body and not a POLICY, LAW, NATIONAL HEALTH STRATEGY, NATIONAL CONTROL PLAN, ACTION PLAN, or GUIDELINE. It does not set policy goals, legal rules, national strategy, implementation actions, or clinical practice guidance.",False,,,,,,,,,,,16.153600931167603,True,
5e3a6502951fa21f520330b2.pdf,True,0.95,"This is an official World Health Organization publication (WHO Report on Cancer, 2020). WHO is an authoritative global health agency and the document contains public‑health guidance, recommendations, and an investment case for cancer control, produced by WHO's Department of Noncommunicable Diseases with WHO logos and formal publication metadata.",True,0.85,"Best fit: POLICY. The report defines goals, priorities and recommended actions for cancer control at national and global levels (prioritizing prevention, early diagnosis, financing, capacity building, and key actions). It is not a national law, not a country‑level National Health Strategy or National Control Plan, does not present legally binding text, and is broader than a clinical guideline or an operational action plan with specific timelines/responsibilities, so it most closely matches the GHPL 'POLICY' category.",True,"value='WHO Report on Cancer: Setting Priorities, Investing Wisely and Providing Care for All' confidence=0.9 evidence=""Cover title: 'WHO REPORT ON CANCER SETTING PRIORITIES, INVESTING WISELY AND PROVIDING CARE FOR ALL' (converted from ALL CAPS to title case)."" source_page=1 alternatives=['WHO Report on Cancer', 'Setting Priorities, Investing Wisely and Providing Care for All']","value=<DocType.POLICY: 'Policy'> confidence=0.8 evidence=""Cover and title: 'WHO REPORT ON CANCER: SETTING PRIORITIES, INVESTING WISELY AND PROVIDING CARE FOR ALL' — this is an organizational WHO report setting priorities and recommendations (policy-like document)."" source_page=1 alternatives=['Health Guideline', 'Action Plan']","value=<HealthTopic.CANCER: 'Cancer'> confidence=1.0 evidence=""Title on cover: 'WHO REPORT ON CANCER' and throughout the document references to cancer-specific priorities and interventions."" source_page=1 alternatives=['Non-Communicable Disease']","value=<Creator.AGENCY: 'Agency'> confidence=1.0 evidence=""World Health Organization is listed as the publisher/author on the cover and in the copyright/suggested citation ('World Health Organization; 2020')."" source_page=1 alternatives=['Foundation', 'Association']","value=2020 confidence=1.0 evidence=""Cover and copyright: '2020' and suggested citation: 'World Health Organization; 2020'."" source_page=1 alternatives=['2020 (publication year)']","value='Switzerland' confidence=0.8 evidence=""Page text: 'Printed in Switzerland' and suggested citation lists 'Geneva: World Health Organization; 2020' indicating publication location."" source_page=2 alternatives=['Switzerland (Geneva)', 'Global']","value='English' confidence=1.0 evidence='Document text and all headings are in English (e.g., cover, table of contents, executive summary).' source_page=1 alternatives=['English (original)']",,0.925,1.0,27.447965621948242,True,
ASGM_Ghana_ICA_21052020_web.pdf,True,0.95,"Produced by and for authoritative actors: WHO Country Office for Ghana (WHO logo present), with WHO technical contributors and funding from UNIDO and collaboration with the Ghana Ministry of Health. The document addresses public health institutional capacity and was prepared to inform national public-health strategy work — clearly from official health authorities/UN agencies.",False,0.9,"This is an Institutional Capacity Assessment Report to inform development of a Public Health Strategy on ASGM. It is an assessment/evaluation document, not a formal policy, law, national health strategy, national control plan, action plan, or an evidence-based clinical/public health guideline.",False,,,,,,,,,,,15.208768367767334,True,
38-10-en-2-jiang.pdf,False,0.93,"This is a peer‑reviewed original research article published in an academic journal, authored by university researchers and analysts at ICES and Cancer Care Ontario. It presents population‑based study results rather than an official policy, guideline, law, or government/agency directive.",False,0.94,"The document is an original quantitative research paper describing detection methods, diagnostic intervals and service use. It does not define policy goals, legal rules, a national strategy/control plan, an action plan, or an evidence‑based clinical/public‑health guideline.",False,,,,,,,,,,,14.245382308959961,True,
22_0347.pdf,True,0.95,This article is published in the CDC journal Preventing Chronic Disease (PCD) and includes authors affiliated with the Centers for Disease Control and Prevention (a U.S. federal public health agency). The source is an authoritative national public health institute.,False,0.95,"The document is a peer-reviewed guest editorial/review summarizing a collection of research and programmatic efforts. It is a commentary/research overview, not a formal policy, law, national health strategy, national control plan, action plan, or evidence-based guideline.",False,,,,,,,,,,,6.86375880241394,True,
Db80.pdf,True,0.95,"This brief is published by the U.S. Department of Health and Human Services — Centers for Disease Control and Prevention, National Center for Health Statistics (an official government public health agency). It is therefore from an authoritative health source.",False,0.95,"The document is a statistical data brief reporting trends in twin births (NCHS Data Brief). It does not present a formal policy, law, national strategy, control plan, action plan, or official clinical/public health guideline — it is a descriptive epidemiologic/statistical report.",False,,,,,,,,,,,6.494297742843628,True,
Standardised-recipes-for-canteens.pdf,False,0.9,"This appears to be a public-facing healthy eating / recipe brochure produced by the Heart Foundation (logo present). It is an NGO educational material rather than a government ministry, WHO, national public health institute, or a professional society policy document, so it does not meet the authoritative health source definition used here.",False,0.95,"The content is recipe guidance, checklists and consumer nutrition tips (patient/public education). It lacks the hallmarks of a POLICY, LAW, National Health Strategy, National Control Plan, ACTION PLAN, or formal evidence-based GUIDELINE (no formal approval, legal language, timelines, or systematic evidence review), so it does not fit any GHPL category.",False,,,,,,,,,,,20.29717755317688,True,
Rwanda_NCCP_Final_Signed.pdf,True,0.95,"This is an official Ministry of Health publication (Non-Communicable Diseases Division, Rwanda Biomedical Centre, Ministry of Health, Rwanda) titled “Rwanda National Cancer Control Plan 2020–2024.” It includes ministerial forewords, official logos, publication details and outlines national-level health actions, so it is from an authoritative health source.",True,0.95,"The document is explicitly a National Cancer Control Plan with national-level goals, targets, strategies, implementation actions and timelines for cancer prevention and control. This matches the definition of a NATIONAL CONTROL PLAN.",True,"value='Rwanda National Cancer Control Plan 2020-2024' confidence=0.9 evidence='Cover/title text: ""Rwanda National Cancer Control Plan 2020-2024""' source_page=1 alternatives=['Rwanda National Cancer Control Plan', 'National Cancer Control Plan 2020-2024']","value=<DocType.NATIONAL_CONTROL_PLAN: 'National Control Plan'> confidence=1.0 evidence='Cover/title: ""Rwanda National Cancer Control Plan 2020-2024"" and multiple references to ""National Cancer Control Plan (NCCP)"" in the executive summary' source_page=1 alternatives=['Policy', 'National Health Strategy', 'Action Plan']","value=<HealthTopic.CANCER: 'Cancer'> confidence=1.0 evidence='Title and repeated references throughout (e.g., ""Rwanda National Cancer Control Plan"", ""cancer"" in executive summary and objectives)' source_page=1 alternatives=['Non-Communicable Disease']","value=<Creator.MINISTRY: 'Ministry'> confidence=0.9 evidence='""Published by: Non-Communicable Diseases Division, Rwanda Biomedical Centre, Ministry of Health, Rwanda"" (publication details) and Ministry of Health logo on the cover' source_page=2 alternatives=['Agency']","value=2020 confidence=1.0 evidence='Publication date: ""February 2020"" (publication details) and plan period shown as ""2020-2024"" on cover' source_page=2 alternatives=['2024']","value='Rwanda' confidence=1.0 evidence='Cover and publication details reference ""Republic of Rwanda"", and the content repeatedly references Rwanda' source_page=1 alternatives=['Republic of Rwanda']","value='English' confidence=0.9 evidence='Document text and headings are in English (e.g., ""Executive summary"", ""Publication details"", full English content throughout)' source_page=1 alternatives=['Kinyarwanda', 'French']",,0.95,1.0,27.798467874526978,True,
Kenya-National-Strategy-for-NCDs-2015-2020.pdf,True,0.98,"This is an official government document from the Republic of Kenya Ministry of Health titled 'Kenya National Strategy for the Prevention and Control of Non-Communicable Diseases 2015–2020'. It includes ministerial preface, formal formatting, strategic objectives, and implementation/appendix material — hallmarks of an authoritative national health policy document.",True,0.93,"The document is a national-level strategic plan focused on prevention and control of a specific health problem (non-communicable diseases). It defines vision, goals, strategic objectives and an implementation framework, so it fits the 'National Control Plan' category (disease-specific national strategic plan).",True,"value='Kenya National Strategy for the Prevention and Control of Non-Communicable Diseases 2015-2020' confidence=0.9 evidence=""Cover title (all caps): 'KENYA NATIONAL STRATEGY FOR THE PREVENTION AND CONTROL OF NON-COMMUNICABLE DISEASES' and the year range '2015 - 2020' visible on the cover."" source_page=1 alternatives=['Kenya National Strategy for the Prevention and Control of Non-Communicable Diseases', 'Kenya National Strategy for NCDs 2015-2020']","value=<DocType.NATIONAL_HEALTH_STRATEGY: 'National Health Strategy'> confidence=0.9 evidence=""Cover title: 'KENYA NATIONAL STRATEGY FOR THE PREVENTION AND CONTROL OF NON-COMMUNICABLE DISEASES' and repeated references to 'National Strategy' in table of contents and headers."" source_page=1 alternatives=['Policy', 'Action Plan']","value=<HealthTopic.NON_COMMUNICABLE_DISEASE: 'Non-Communicable Disease'> confidence=1.0 evidence=""Document title and repeated text: '...PREVENTION AND CONTROL OF NON-COMMUNICABLE DISEASES' and table of contents listing Cancer, Cardiovascular diseases, Diabetes, COPD, etc."" source_page=1 alternatives=None","value=<Creator.MINISTRY: 'Ministry'> confidence=1.0 evidence=""Cover and document header: 'MINISTRY OF HEALTH' and copyright: 'Copyright 2015 Ministry of Health'."" source_page=1 alternatives=None","value=2015 confidence=1.0 evidence=""Copyright line: 'Copyright 2015 Ministry of Health' and cover shows the strategy period '2015 - 2020'."" source_page=3 alternatives=['2015-2020']","value='Kenya' confidence=1.0 evidence=""Cover: 'REPUBLIC OF KENYA' and multiple references to Kenya throughout the document (e.g., 'Kenya National Strategy...')."" source_page=1 alternatives=None","value='English' confidence=1.0 evidence='Document text is in English throughout (cover, preface, table of contents, body text).' source_page=1 alternatives=None",,0.96,1.0,32.265416383743286,True,
